Continent,Region,Subregion,Stock,Group,Name,ScientificName,SpecCode,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,MSYBtrigger,Fmsy,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,btype,e.creep,force.cmsy,Comments
North America,Eastern Tropical Pacific,Peninsula of Baja California,ANISOTREMUS_INTERRUPTUS,NA,ANISOTREMUS INTERRUPTUS,Anisotremus interruptus,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,BAGRE_PANAMENSIS,NA,BAGRE PANAMENSIS,Bagre panamensis,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,BALISTES_POLYLEPIS,NA,BALISTES POLYLEPIS,Balistes polylepis,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,BODIANUS_SPP,NA,BODIANUS SPP,Bodianus spp.,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Very low,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,BROTULA_SPP,NA,BROTULA SPP,Brotula spp.,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,CALAMUS_SPP,NA,CALAMUS SPP,"Calamus brachysomus, Calamus bajonado, Calamus pennatula",NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,CAULOLATILUS_AFFINIS,NA,CAULOLATILUS AFFINIS,Caulolatilus affinis,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,CAULOLATILUS_PRINCEPS,NA,CAULOLATILUS PRINCEPS,Caulolatilus princeps,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,CENTROPOMUS_SPP,NA,CENTROPOMUS SPP,"Centropomus spp., Centropomus undecimalis",NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
North America,Eastern Tropical Pacific,Peninsula of Baja California,CEPHALOPHOLIS_COLONUS,NA,CEPHALOPHOLIS COLONUS,Cephalopholis colonus,NA,CONAPESCA,2006,2023,2006,2023,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,True ,NA
